index,car_name,year_manufacture,fuel_type,transmission,ownership,engine,number_seats,kms_driven,car_price
394,435,19,4,1,1,47,2,51.0,12.6
395,645,17,4,0,2,12,2,62.0,4.74
396,1589,20,1,1,1,74,4,120.0,14.82
397,1582,25,1,0,1,60,2,2.0,30.9
398,1837,20,4,1,1,138,2,46.0,8.22
399,1091,20,1,1,2,16,4,65.0,11.339999999999998
400,984,20,4,1,1,137,2,22.248,5.1
401,61,21,1,0,1,67,2,40.0,51.6
402,348,16,4,1,1,40,2,73.0,6.9
403,1842,24,4,0,1,138,2,54.0,13.74
404,362,9,4,1,2,57,2,90.0,3.12
405,747,24,4,0,1,24,2,15.0,32.7
406,756,24,1,0,1,37,2,30.0,21.84
407,720,19,1,0,1,74,2,26.0,33.54
408,885,9,1,1,2,94,4,155.0,4.2
409,1344,22,4,0,1,65,2,29.366,41.1
410,1831,19,4,1,1,13,2,28.211,8.1
411,753,22,4,0,1,22,2,40.0,20.1
412,61,18,1,0,1,67,2,54.0,29.4
413,945,18,1,1,2,74,4,82.0,12.3
414,571,14,4,1,1,47,2,117.0,5.580000000000001
415,872,18,1,1,2,74,5,111.0,13.5
416,1168,21,1,0,1,16,2,108.0,9.54
417,1121,20,4,1,1,130,2,4.0,3.96
418,1775,14,1,1,3,88,4,290.0,8.22
419,211,22,1,0,1,115,4,35.0,43.08
420,813,23,4,0,1,34,2,13.0,21.54
421,240,21,4,1,1,10,2,60.0,5.880000000000001
422,183,21,1,1,1,41,2,90.0,11.7
423,1345,22,1,0,2,72,2,16.975,40.5
424,496,21,4,1,1,12,2,11.0,6.9
425,1527,21,1,1,1,41,2,59.0,11.82
426,1255,11,3,1,2,2,2,46.0,2.7
427,991,7,4,1,3,130,2,80.0,1.62
428,698,22,4,1,1,12,2,25.0,9.0
429,647,21,4,1,2,12,2,54.801,8.7
430,251,8,4,0,2,112,2,75.0,2.4
431,1233,20,1,1,1,16,2,130.0,10.38
432,402,16,4,1,2,38,2,71.0,3.72
433,311,13,4,0,1,13,2,70.0,12.0
434,558,22,4,1,1,137,2,14.115,12.539999999999997
435,287,22,4,1,2,14,2,30.0,9.0
436,91,20,1,0,1,67,2,63.17,47.940000000000005
437,1723,9,4,1,2,53,2,80.0,3.54
438,1319,21,1,0,1,72,2,47.253,39.540000000000006
439,957,12,1,1,1,90,4,56.117,3.54
440,1319,21,1,0,1,72,2,14.324,40.74000000000001
441,1304,21,4,0,1,65,2,27.6,41.34000000000001
442,1505,21,4,0,1,56,2,38.391,23.387999999999998
443,9,21,1,0,1,61,2,49.0,38.940000000000005
444,186,20,1,1,1,41,2,45.0,9.3
445,117,17,1,0,2,70,2,68.0,8.34
446,1002,21,1,1,1,16,2,67.0,9.9
447,647,21,4,1,1,12,2,80.0,9.3
448,1831,19,4,1,1,14,2,62.0,8.1
449,1639,12,1,1,2,74,4,50.0,3.0
450,945,15,1,1,3,74,4,100.0,8.34
451,327,9,4,1,5,40,2,75.0,3.3
452,940,17,1,1,2,74,4,120.0,7.8
453,1299,19,1,0,2,72,2,37.0,20.94
454,32,21,1,0,1,61,2,64.0,37.2
455,1728,18,1,1,2,23,2,79.0,8.34
456,215,10,4,1,1,26,2,80.0,2.16
457,1023,17,4,1,1,137,2,14.0,5.7
458,1034,21,4,0,2,137,2,28.217,6.3
459,1247,6,4,1,2,137,2,90.0,1.68
460,316,8,4,1,2,138,2,120.0,2.22
461,1855,24,4,1,1,107,2,26.0,12.539999999999997
462,1341,16,1,0,2,3,4,100.0,36.0
463,521,22,4,1,1,35,2,50.0,6.0
464,1436,22,1,1,1,13,2,70.0,10.5
465,257,19,4,1,3,11,2,80.0,4.344
466,233,13,4,1,3,75,2,157.0,2.16
467,912,24,1,1,1,16,1,15.55,20.94
468,1089,20,1,1,1,74,4,80.0,9.6
469,928,20,1,0,1,50,4,59.432,16.74
470,1539,23,4,1,1,50,2,53.047,12.539999999999997
471,1868,19,4,1,1,137,2,46.464,9.3
472,1286,10,4,1,4,35,2,70.0,1.44
473,1436,22,1,1,2,78,2,23.0,12.9
474,749,23,1,0,1,72,4,30.0,41.4
475,1349,21,1,0,1,93,2,22.0,58.5
476,163,21,1,1,2,44,4,35.0,11.039999999999997
477,421,19,1,1,1,57,2,80.0,12.6
478,363,9,4,0,4,7,2,100.0,2.4
479,1422,17,4,1,1,92,2,95.0,4.2
480,838,0,1,1,1,14,3,100.0,3.12
481,111,15,4,1,3,12,2,50.0,2.16
482,1128,18,4,1,1,39,2,64.0,6.3
483,192,23,4,0,2,41,2,15.509,13.02
484,181,21,1,1,2,3,2,43.203,11.58
485,629,10,4,1,1,37,2,80.0,3.192
486,441,23,1,1,1,137,2,50.0,21.54
487,1035,20,4,0,2,41,2,40.0,5.519999999999999
488,1525,23,1,1,1,17,2,111.0,11.939999999999998
489,1109,9,4,1,2,106,2,73.0,1.44
490,1754,17,1,1,2,12,4,220.0,20.1
491,484,20,4,1,2,72,2,11.717,6.42
492,1354,22,1,0,2,12,2,46.0,67.8
493,501,24,4,1,1,16,2,15.0,7.776
494,1099,16,1,1,2,74,4,110.0,7.14
495,928,19,1,0,1,16,4,66.968,17.1
496,1180,18,1,1,2,92,2,120.0,6.0
497,836,21,1,1,1,12,4,70.0,8.82
498,1170,20,4,0,2,17,2,47.0,9.06
499,1223,9,4,1,4,14,2,110.0,3.0
500,1839,15,1,1,2,40,2,81.0,5.94
501,322,8,4,0,3,40,2,70.0,2.7
502,442,24,4,1,1,47,2,12.662,19.14
503,425,21,4,1,1,47,2,14.0,12.3
504,571,17,4,1,2,16,2,56.0,6.9
505,1231,22,1,1,1,12,2,54.0,11.952000000000002
506,695,23,4,1,1,55,2,63.0,9.3
507,468,16,4,1,2,2,2,40.0,6.24
508,1283,11,4,1,2,41,2,60.0,2.52
509,178,16,1,1,2,16,2,80.0,7.2
510,1089,19,1,1,1,36,4,120.0,7.8
511,1806,25,4,1,2,17,2,15.0,7.02
512,1198,12,4,1,2,16,2,295.0,3.504
513,1002,20,1,1,3,41,2,60.0,7.8
514,1478,17,4,0,1,13,2,50.0,5.1
515,306,17,4,1,2,42,2,55.0,5.34
516,197,17,4,0,2,12,2,77.0,8.1
517,701,18,4,1,1,29,2,33.389,6.396
518,560,17,4,1,1,12,2,17.526,6.432
519,482,21,4,1,1,12,2,15.757,6.768
520,641,15,4,1,1,12,2,8.183,3.336
521,1001,20,4,1,1,40,2,32.59,6.996
522,351,19,4,1,2,47,2,45.423,8.388
523,432,19,4,0,2,12,2,52.481,10.8
524,1115,20,4,1,1,12,2,22.915,5.436
525,1192,20,4,1,1,12,2,72.123,7.212
526,655,20,4,1,1,12,2,37.965,6.9
527,478,21,4,1,1,14,2,27.651,6.36
528,375,19,4,1,1,47,2,92.771,5.94
529,605,21,4,1,1,13,2,51.956,12.335999999999999
530,849,20,4,1,1,108,2,34.048,4.788
531,75,20,1,0,1,61,2,47.0,76.2
532,26,17,1,0,3,59,2,60.0,16.8
533,1348,22,1,0,1,47,2,43.0,57.3
534,433,20,4,1,1,104,2,58.596,9.732
535,45,20,1,0,1,16,4,70.0,58.2
536,1067,19,1,1,1,12,2,69.0,8.1
537,633,14,4,1,1,35,2,50.152,2.7359999999999998
538,1433,17,1,1,1,47,2,62.164,6.167999999999999
539,433,20,4,1,1,12,2,49.929,9.839999999999998
540,1113,20,4,1,1,50,2,60.393,5.892
541,1531,19,4,0,1,14,2,46.281,7.056
542,375,20,4,1,1,56,2,53.201,6.636
543,1718,18,4,1,1,12,2,80.056,8.52
544,504,16,4,1,1,40,2,76.175,3.84
545,350,18,4,1,1,12,2,51.493,7.212
546,1192,18,4,1,1,16,2,63.141,6.384
547,1002,20,1,1,2,56,2,37.057,7.812
548,1720,18,4,1,1,74,2,60.865,10.224
549,943,21,1,1,2,74,4,45.407,13.32
550,939,22,1,1,1,40,4,52.652,14.196
551,923,22,1,1,1,47,2,42.923,12.72
552,436,20,4,1,1,29,2,56.052,11.039999999999997
553,667,20,1,1,1,47,2,42.923,7.812
554,604,21,4,1,2,3,2,32.733,10.128
555,523,16,4,1,1,12,2,62.207,2.532
556,648,20,4,1,2,14,2,48.352,7.236
557,373,19,4,0,1,25,2,57.08,7.2
558,1069,19,4,1,1,16,2,43.168,7.56
